arch,dtype,seed,batch_size,grad_mae,grad_cos_sim,torch_grad_norm,tf_grad_norm,max_layer_mae,min_layer_cos,nan_inf_torch,nan_inf_tf
3x32_gelu_relu_tanh,float32,0,32,0.01381951679888165,0.5628936416666017,1.3134920597076416,1.3134920597076416,0.02258933239042271,0.01582952738814039,False,False
3x32_gelu_relu_tanh,float32,1,1,0.03855835901940175,0.5413243784951474,4.8826422691345215,4.88264274597168,0.06266717220576012,0.002940566231109108,False,False
3x32_gelu_relu_tanh,float32,1,8,0.018414774581188623,0.6468667097495245,1.9709656238555908,1.9709657430648804,0.03194406524343307,0.03900062842395224,False,False
3x32_gelu_relu_tanh,float32,1,32,0.015766366187571743,0.46425915594558503,1.3524808883666992,1.3524808883666992,0.025988285792101884,0.0021437113635746274,False,False
3x32_gelu_relu_tanh,float32,2,1,0.022402072322175493,0.5411794112181755,2.9521985054016113,2.9521994590759277,0.0333280136718308,0.020879130762426337,False,False
3x32_gelu_relu_tanh,float32,2,8,0.02247317446189219,0.4931914685008566,2.0220327377319336,2.0220324993133545,0.03326715998743612,0.03374231885406385,False,False
3x32_gelu_relu_tanh,float32,2,32,0.01127291703401275,0.5208054995730182,1.0271787643432617,1.0271787643432617,0.016402753716173057,0.02204099253702123,False,False
3x32_gelu_relu_tanh,float64,0,1,0.08036163203700736,0.4597680606276664,9.535333221468425,9.535333252292185,0.13001089718405504,0.00857025731938819,False,False
3x32_gelu_relu_tanh,float64,0,8,0.01811002231183485,0.47865429046206925,1.5689204285674294,1.5689204318496044,0.02798986901623489,0.019596857850963597,False,False
3x32_gelu_relu_tanh,float64,0,32,0.00978077103417238,0.49892725065500504,0.8876320693305866,0.8876320709644575,0.015844374856364682,-0.0020843678792575476,False,False
3x32_gelu_relu_tanh,float64,1,1,0.030131768509290623,0.5008316836743535,3.4848108032725715,3.4848108105422457,0.05747864306505431,0.008894642184914384,False,False
3x32_gelu_relu_tanh,float64,1,8,0.02177342714336102,0.5283821939114655,2.157808861102957,2.157808866624838,0.03578962622863546,-0.0032597181492163376,False,False
3x32_gelu_relu_tanh,float64,1,32,0.013480854157573373,0.5085132917038775,1.197593803619392,1.1975938065845184,0.019512489691072638,-0.015915223566671244,False,False
3x32_gelu_relu_tanh,float64,2,1,0.017525014950310634,0.5969837758597283,2.1770455079859112,2.177045510225528,0.03121411995435815,0.012882811885932339,False,False
3x32_gelu_relu_tanh,float64,2,8,0.01605851865143188,0.5989502181066108,1.6756574365547412,1.6756574424032205,0.0236520111173293,0.017498806953485078,False,False
3x32_gelu_relu_tanh,float64,2,32,0.01015183663710609,0.5410408175100485,0.9860331040886823,0.9860331064577548,0.01787051645848817,0.008969188878523236,False,False
2x256_sigmoid,float32,0,1,0.019199713593924087,0.906926906629641,15.854876518249512,15.854875564575195,0.021226147270056756,0.01048986248863737,False,False
2x256_sigmoid,float32,0,8,0.006447460036447288,0.9049611234331338,5.207536697387695,5.207536697387695,0.007127957231555869,0.01143926519073485,False,False
2x256_sigmoid,float32,0,32,0.005924580458852011,0.9065260780747146,4.816437244415283,4.816436767578125,0.0065498902976285234,0.010934085689437512,False,False
2x256_sigmoid,float32,1,1,0.011194158993017933,0.8918051377074346,8.686708450317383,8.686708450317383,0.012375646163959308,0.003265079106761364,False,False
2x256_sigmoid,float32,1,8,0.007840372280966982,0.8976746149589854,6.155846118927002,6.155845642089844,0.008667884421223931,0.004080989978278219,False,False
2x256_sigmoid,float32,1,32,0.0054579225374134285,0.8967378675786511,4.209768772125244,4.209768772125244,0.006033978967745963,0.005489030090276068,False,False
2x256_sigmoid,float32,2,1,0.007159466623711524,0.9133947769192332,6.054612636566162,6.0546112060546875,0.007915111763928284,0.0037530118611855305,False,False
2x256_sigmoid,float32,2,8,0.007904061347157175,0.8996984191882196,6.253868579864502,6.253868579864502,0.008738295457434271,0.007562324978017166,False,False
2x256_sigmoid,float32,2,32,0.005190253547039259,0.9063126639825031,4.208950996398926,4.208950996398926,0.00573805885199523,0.006665112705637298,False,False
2x256_sigmoid,float64,0,1,0.016029796950056966,0.9043533837759931,13.030083010658666,13.030083010658668,0.017721662573585165,0.00036300616921470434,False,False
2x256_sigmoid,float64,0,8,0.003938286272347832,0.9116322545246313,3.3056880854019517,3.3056880854019517,0.004353952870032003,0.007029915539730852,False,False
