arch,dtype,seed,batch_size,mae,cosine_similarity,cosine_distance
128_64_tanh_relu,float32,2,32,5.832407623529434e-08,0.9999999999999847,1.532107773982716e-14
128_64_tanh_relu,float64,0,1,9.992007221626409e-17,1.0,0.0
128_64_tanh_relu,float64,0,8,2.2187113257743364e-16,1.0,0.0
128_64_tanh_relu,float64,0,32,1.7480523864348008e-16,1.0,0.0
128_64_tanh_relu,float64,1,1,2.1094237467877973e-16,1.0,0.0
128_64_tanh_relu,float64,1,8,1.4025239303272484e-16,1.0,0.0
128_64_tanh_relu,float64,1,32,1.6015834491955872e-16,1.0,0.0
128_64_tanh_relu,float64,2,1,1.8041124150158794e-16,1.0,0.0
128_64_tanh_relu,float64,2,8,2.534430998402115e-16,0.9999999999999999,1.1102230246251565e-16
128_64_tanh_relu,float64,2,32,1.8209988638523412e-16,1.0,0.0
3x32_gelu_relu_tanh,float32,0,1,1.1622905731201172e-07,0.9999999999999855,1.454392162258955e-14
3x32_gelu_relu_tanh,float32,0,8,5.21540641784668e-08,0.9999999999999908,9.2148511043888e-15
3x32_gelu_relu_tanh,float32,0,32,5.634501576423645e-08,0.9999999999999899,1.0103029524088925e-14
3x32_gelu_relu_tanh,float32,1,1,1.3113021850585939e-07,0.9999999999997047,2.9531932455029164e-13
3x32_gelu_relu_tanh,float32,1,8,4.908069968223572e-08,0.9999999999999724,2.7644553313166398e-14
3x32_gelu_relu_tanh,float32,1,32,6.242189556360245e-08,0.9999999999999771,2.2870594307278225e-14
3x32_gelu_relu_tanh,float32,2,1,1.123175024986267e-07,0.9999999999998975,1.0247358517290195e-13
3x32_gelu_relu_tanh,float32,2,8,7.404014468193054e-08,0.9999999999999764,2.3647750424515834e-14
3x32_gelu_relu_tanh,float32,2,32,6.731133908033372e-08,0.9999999999999752,2.475797344914099e-14
3x32_gelu_relu_tanh,float64,0,1,2.1290410906482648e-09,1.0,0.0
3x32_gelu_relu_tanh,float64,0,8,1.003282753650101e-09,1.0,0.0
3x32_gelu_relu_tanh,float64,0,32,1.213900159944837e-09,0.9999999999999998,2.220446049250313e-16
3x32_gelu_relu_tanh,float64,1,1,1.1118545750754548e-09,1.0,0.0
3x32_gelu_relu_tanh,float64,1,8,1.4007796610149282e-09,1.0,0.0
3x32_gelu_relu_tanh,float64,1,32,1.4611268321119975e-09,0.9999999999999998,2.220446049250313e-16
3x32_gelu_relu_tanh,float64,2,1,2.353714850800159e-09,0.9999999999999998,2.220446049250313e-16
3x32_gelu_relu_tanh,float64,2,8,2.165083475350049e-09,1.0,0.0
3x32_gelu_relu_tanh,float64,2,32,1.7299979281944081e-09,1.0,0.0
2x256_sigmoid,float32,0,1,1.1324882507324218e-07,0.9999999999999685,3.1530333899354446e-14
2x256_sigmoid,float32,0,8,1.1436641216278076e-07,0.9999999999999553,4.474198789239381e-14
